date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:54:56	24740/24740	---M-Z	200	added ('OK')	font/ttf	date:Thu,%2016%20Sep%202021%2018:12:04%20GMT	https://fonts.gstatic.com/s/robotoslab/v16/BngbUXZYTXPIvIBgJJSb6s3BzlRRfKOFbvjovoSmb2Rm.ttf	C:/My%20Web%20Sites/prayag/fonts.gstatic.com/s/robotoslab/v16/BngbUXZYTXPIvIBgJJSb6s3BzlRRfKOFbvjovoSmb2Rm.ttf	(from https://fonts.googleapis.com/css?family=Roboto%3A100%2C100italic%2C200%2C200italic%2C300%2C300italic%2C400%2C400italic%2C500%2C500italic%2C600%2C600italic%2C700%2C700italic%2C800%2C800italic%2C900%2C900italic%7CRoboto+Slab%3A100%2C100italic%2C200%2C200italic%2C300%2C300italic%2C400%2C400italic%2C500%2C500italic%2C600%2C600italic%2C700%2C700italic%2C800%2C800italic%2C900%2C900italic&display=auto&ver=5.6.7)
16:54:57	24804/24804	---M-Z	200	added ('OK')	font/ttf	date:Thu,%2016%20Sep%202021%2018:12:04%20GMT	https://fonts.gstatic.com/s/robotoslab/v16/BngbUXZYTXPIvIBgJJSb6s3BzlRRfKOFbvjoUoOmb2Rm.ttf	C:/My%20Web%20Sites/prayag/fonts.gstatic.com/s/robotoslab/v16/BngbUXZYTXPIvIBgJJSb6s3BzlRRfKOFbvjoUoOmb2Rm.ttf	(from https://fonts.googleapis.com/css?family=Roboto%3A100%2C100italic%2C200%2C200italic%2C300%2C300italic%2C400%2C400italic%2C500%2C500italic%2C600%2C600italic%2C700%2C700italic%2C800%2C800italic%2C900%2C900italic%7CRoboto+Slab%3A100%2C100italic%2C200%2C200italic%2C300%2C300italic%2C400%2C400italic%2C500%2C500italic%2C600%2C600italic%2C700%2C700italic%2C800%2C800italic%2C900%2C900italic&display=auto&ver=5.6.7)
16:54:57	24744/24744	---M-Z	200	added ('OK')	font/ttf	date:Thu,%2016%20Sep%202021%2018:12:07%20GMT	https://fonts.gstatic.com/s/robotoslab/v16/BngbUXZYTXPIvIBgJJSb6s3BzlRRfKOFbvjoa4Omb2Rm.ttf	C:/My%20Web%20Sites/prayag/fonts.gstatic.com/s/robotoslab/v16/BngbUXZYTXPIvIBgJJSb6s3BzlRRfKOFbvjoa4Omb2Rm.ttf	(from https://fonts.googleapis.com/css?family=Roboto%3A100%2C100italic%2C200%2C200italic%2C300%2C300italic%2C400%2C400italic%2C500%2C500italic%2C600%2C600italic%2C700%2C700italic%2C800%2C800italic%2C900%2C900italic%7CRoboto+Slab%3A100%2C100italic%2C200%2C200italic%2C300%2C300italic%2C400%2C400italic%2C500%2C500italic%2C600%2C600italic%2C700%2C700italic%2C800%2C800italic%2C900%2C900italic&display=auto&ver=5.6.7)
16:54:58	24844/24844	---M-Z	200	added ('OK')	font/ttf	date:Thu,%2016%20Sep%202021%2018:12:04%20GMT	https://fonts.gstatic.com/s/robotoslab/v16/BngbUXZYTXPIvIBgJJSb6s3BzlRRfKOFbvjoDIOmb2Rm.ttf	C:/My%20Web%20Sites/prayag/fonts.gstatic.com/s/robotoslab/v16/BngbUXZYTXPIvIBgJJSb6s3BzlRRfKOFbvjoDIOmb2Rm.ttf	(from https://fonts.googleapis.com/css?family=Roboto%3A100%2C100italic%2C200%2C200italic%2C300%2C300italic%2C400%2C400italic%2C500%2C500italic%2C600%2C600italic%2C700%2C700italic%2C800%2C800italic%2C900%2C900italic%7CRoboto+Slab%3A100%2C100italic%2C200%2C200italic%2C300%2C300italic%2C400%2C400italic%2C500%2C500italic%2C600%2C600italic%2C700%2C700italic%2C800%2C800italic%2C900%2C900italic&display=auto&ver=5.6.7)
16:54:59	24852/24852	---M-Z	200	added ('OK')	font/ttf	date:Thu,%2016%20Sep%202021%2018:12:28%20GMT	https://fonts.gstatic.com/s/robotoslab/v16/BngbUXZYTXPIvIBgJJSb6s3BzlRRfKOFbvjoJYOmb2Rm.ttf	C:/My%20Web%20Sites/prayag/fonts.gstatic.com/s/robotoslab/v16/BngbUXZYTXPIvIBgJJSb6s3BzlRRfKOFbvjoJYOmb2Rm.ttf	(from https://fonts.googleapis.com/css?family=Roboto%3A100%2C100italic%2C200%2C200italic%2C300%2C300italic%2C400%2C400italic%2C500%2C500italic%2C600%2C600italic%2C700%2C700italic%2C800%2C800italic%2C900%2C900italic%7CRoboto+Slab%3A100%2C100italic%2C200%2C200italic%2C300%2C300italic%2C400%2C400italic%2C500%2C500italic%2C600%2C600italic%2C700%2C700italic%2C800%2C800italic%2C900%2C900italic&display=auto&ver=5.6.7)
16:55:01	29829/29829	---MC-	200	added ('OK')	application/json	date:Mon,%2024%20Jan%202022%2011:24:59%20GMT	http://localhost/wordpress/wp-json/wp/v2/pages/8	C:/My%20Web%20Sites/prayag/localhost/wordpress/wp-json/wp/v2/pages/8.json	(from http://localhost/wordpress/about/)
16:55:03	2276/2276	---M--	200	added ('OK')	application/json	date:Mon,%2024%20Jan%202022%2011:25:01%20GMT	http://localhost/wordpress/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%2Fwordpress%2Fabout%2F	C:/My%20Web%20Sites/prayag/localhost/wordpress/wp-json/oembed/1.0/embed4c30.json	(from http://localhost/wordpress/about/)
16:55:03	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2024%20Jan%202022%2011:25:01%20GMT	http://localhost/wordpress/?p=8	C:/My%20Web%20Sites/prayag/localhost/wordpress/index2df4.html	(from http://localhost/wordpress/about/)
16:55:04	2364/2364	---M--	200	added ('OK')	text/xml	date:Mon,%2024%20Jan%202022%2011:25:03%20GMT	http://localhost/wordpress/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%2Fwordpress%2Fabout%2F&format=xml	C:/My%20Web%20Sites/prayag/localhost/wordpress/wp-json/oembed/1.0/embed8435	(from http://localhost/wordpress/about/)
16:55:06	6309/6309	---M--	200	added ('OK')	application/json	date:Mon,%2024%20Jan%202022%2011:25:04%20GMT	http://localhost/wordpress/wp-json/wp/v2/pages/631	C:/My%20Web%20Sites/prayag/localhost/wordpress/wp-json/wp/v2/pages/631.json	(from http://localhost/wordpress/doctors-3/)
16:55:07	86108/86108	---M--	200	added ('OK')	application/javascript	etag:%221505c-5d626b2692be1%22	http://localhost/wordpress/wp-content/plugins/tablepress/js/jquery.datatables.min.js?ver=1.14	C:/My%20Web%20Sites/prayag/localhost/wordpress/wp-content/plugins/tablepress/js/jquery.datatables.mind50e.js	(from http://localhost/wordpress/about/)
16:55:07	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2024%20Jan%202022%2011:25:06%20GMT	http://localhost/wordpress/?p=631	C:/My%20Web%20Sites/prayag/localhost/wordpress/indexa123.html	(from http://localhost/wordpress/doctors-3/)
16:55:07	2290/2290	---M--	200	added ('OK')	application/json	date:Mon,%2024%20Jan%202022%2011:25:06%20GMT	http://localhost/wordpress/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%2Fwordpress%2Fdoctors-3%2F	C:/My%20Web%20Sites/prayag/localhost/wordpress/wp-json/oembed/1.0/embedae93.json	(from http://localhost/wordpress/doctors-3/)
16:55:08	2378/2378	---M--	200	added ('OK')	text/xml	date:Mon,%2024%20Jan%202022%2011:25:07%20GMT	http://localhost/wordpress/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%2Fwordpress%2Fdoctors-3%2F&format=xml	C:/My%20Web%20Sites/prayag/localhost/wordpress/wp-json/oembed/1.0/embed0a46	(from http://localhost/wordpress/doctors-3/)
16:55:10	34465/34465	---MC-	200	added ('OK')	application/json	date:Mon,%2024%20Jan%202022%2011:25:08%20GMT	http://localhost/wordpress/wp-json/wp/v2/pages/634	C:/My%20Web%20Sites/prayag/localhost/wordpress/wp-json/wp/v2/pages/634.json	(from http://localhost/wordpress/departments-1/)
16:55:11	2310/2310	---M--	200	added ('OK')	application/json	date:Mon,%2024%20Jan%202022%2011:25:10%20GMT	http://localhost/wordpress/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%2Fwordpress%2Fdepartments-1%2F	C:/My%20Web%20Sites/prayag/localhost/wordpress/wp-json/oembed/1.0/embed1605.json	(from http://localhost/wordpress/departments-1/)
16:55:11	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2024%20Jan%202022%2011:25:10%20GMT	http://localhost/wordpress/?p=634	C:/My%20Web%20Sites/prayag/localhost/wordpress/index5cd0.html	(from http://localhost/wordpress/departments-1/)
16:55:12	2398/2398	---M--	200	added ('OK')	text/xml	date:Mon,%2024%20Jan%202022%2011:25:11%20GMT	http://localhost/wordpress/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%2Fwordpress%2Fdepartments-1%2F&format=xml	C:/My%20Web%20Sites/prayag/localhost/wordpress/wp-json/oembed/1.0/embed4300	(from http://localhost/wordpress/departments-1/)
16:55:13	32882/32882	---M--	200	added ('OK')	image/jpeg	etag:%228072-5b6e6669f4300%22	http://localhost/wordpress/wp-content/uploads/2020/11/vV3rtADHCvhccJ9QBpuFDJ-1200-80-630x300.jpg	C:/My%20Web%20Sites/prayag/localhost/wordpress/wp-content/uploads/2020/11/vV3rtADHCvhccJ9QBpuFDJ-1200-80-630x300.jpg	(from http://localhost/wordpress/departments-1/)
16:55:18	26850/26850	---M--	200	added ('OK')	image/jpeg	etag:%2268e2-5b3a9fef70600%22	http://localhost/wordpress/wp-content/uploads/2020/11/obgyn-630x408.jpg	C:/My%20Web%20Sites/prayag/localhost/wordpress/wp-content/uploads/2020/11/obgyn-630x408.jpg	(from http://localhost/wordpress/departments-1/)
16:55:19	35293/35293	---M--	200	added ('OK')	image/jpeg	etag:%2289dd-5b6d67489d580%22	http://localhost/wordpress/wp-content/uploads/2020/12/General-Surgery-630x408.jpg	C:/My%20Web%20Sites/prayag/localhost/wordpress/wp-content/uploads/2020/12/General-Surgery-630x408.jpg	(from http://localhost/wordpress/departments-1/)
16:55:19	36510/36510	---M--	200	added ('OK')	image/jpeg	etag:%228e9e-5b3bd52821180%22	http://localhost/wordpress/wp-content/uploads/2020/11/Cardiology-630x408.jpg	C:/My%20Web%20Sites/prayag/localhost/wordpress/wp-content/uploads/2020/11/Cardiology-630x408.jpg	(from http://localhost/wordpress/departments-1/)
16:55:22	58336/58336	---M--	200	added ('OK')	image/jpeg	etag:%22e3e0-5b3bd32525280%22	http://localhost/wordpress/wp-content/uploads/2020/11/Internal-medicine-2.jpg	C:/My%20Web%20Sites/prayag/localhost/wordpress/wp-content/uploads/2020/11/Internal-medicine-2.jpg	(from http://localhost/wordpress/departments-1/)
16:55:23	29699/29699	---M--	200	added ('OK')	image/jpeg	etag:%227403-5b39b9f737500%22	http://localhost/wordpress/wp-content/uploads/2020/11/kidney-630x408.jpg	C:/My%20Web%20Sites/prayag/localhost/wordpress/wp-content/uploads/2020/11/kidney-630x408.jpg	(from http://localhost/wordpress/departments-1/)
16:55:25	39080/39080	---M--	200	added ('OK')	image/jpeg	etag:%2298a8-5b39bb8f63800%22	http://localhost/wordpress/wp-content/uploads/2020/11/pediatrician-630x350.jpg	C:/My%20Web%20Sites/prayag/localhost/wordpress/wp-content/uploads/2020/11/pediatrician-630x350.jpg	(from http://localhost/wordpress/departments-1/)
